rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,url_immoscout
3 Zimmer,No information,CHF 1525.—,CHF 1300.—,3008,Freiburgstrasse 64,Bern,No information,"Diese ideal gelegene 3-Zimmerwohnung vermieten wir ab sofort oder nach Vereinbarung.Im Wohnbereich sowie in den Zimmern ist ein Parkettbelag verlegt. Im Badezimmer, in der Küche sowie im Korridor sind Bodenplatten vorhanden. Im Korridor gibt es einen Putzschrank sowie einen kleineren Einbauschrank. Im Weiteren gehört zur Wohnung ein grosser Balkon und ein kleiner Balkon sowie ein Keller- und Estrichabteil.Das Mehrfamilienhaus befindet sich an ruhiger Lage. Das Stadtzentrum und der Hauptbahnhof Bern ist mit den öffentlichen Verkehrsmitteln in einigen Minuten erreichbar.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontakaufnahme.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7100563
"3,5 Zimmer",77 m²,CHF 1400.—,CHF 1200.—,3532,Langnaustrasse 11,Zäziwil,No information,"Zu vermieten auf den 1. Septmeber 2022 oder nach Vereinbarung, eine schöne und charmante 3.5 Zimmer Erdgeschoss-Wohnung an der Langnaustrasse 11 in Zäziwil.> Küche mit Glaskeramik und Geschirrspüler> Bad/WC> Bodenbeläge Keramik und Laminat> Einbauschränke> Kleiner Wintergarten> Gartensitzplatz> Keller und Estrichabteil> zwei Autounterstände können dazu gemietet werden, pro Platz CHF 60.-- monatlich.Wir freuen uns auf Ihren Anruf.Edith Sommer079 383 89 16",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-zaeziwil/7111107
1 Zimmer,No information,CHF 1120.—,CHF 980.—,3014,Melchtalstrasse 29,Bern,2021,"Zu vermieten nach Vereinbarung renoviertes, helles Studio, offene Küche mit sämtlichen Apparaten, schönes Badezimmer, Parkettboden, Kellerabteil, Estrich und Lift, Mitbenützung Gemeinschaftsgarten etc.",False,False,True,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/studio-mieten-bern/6504494
"5,5 Zimmer",155 m²,CHF 2290.—,CHF 1940.—,2552,Hauptstrasse 139,Orpund,1998,"Die Duplex-Wohnung befindet sich an zentraler Lage in Orpund.Im unteren Teil liegt der Eingangsbereich mit Garderobe, die halboffene Küche, ein Gäste-WC sowie der Ess- uns Wohnbereich mit Schwedenofen, wovon man über die Terasse direkt in den Garten und zu den Parkplätzen gelangt.Im oberen Teil der Wohnung befinden sich ein Badzimmer inkl. WC und drei Schlafzimmer (eines davon sehr gross).Zur Liegenschaft kann zusätzlich ein gedeckter Parkplatz (CHF 100.- p.M.) und/oder ein weiterer im Freien (CHF 50.-) dazugemietet werden.",True,False,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-orpund/6846539
"4,5 Zimmer",120 m²,CHF 1500.—,CHF 1250.—,2710,Grand Rue 14,Tavannes,2022,"Joli appartement rénové dans un style ancien, cuisine moderne bien équipée ouverte, 3 chambres a coucher, salle de bains avec baignoire, cave.Le bâtiment est situé dans centre ville du Tavannes derrière de la station de les train.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107539
"2,5 Zimmer",70 m²,CHF 1250.—,CHF 1050.—,2710,Grand Rue 14,Tavannes,2022,"Joli appartement rénové dans un style ancien avec cuisine moderne bien équipée, chambres à coucher, grand  salle de bains avec douche , terasse ouverte, cave.",True,False,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107552
"2,5 Zimmer",No information,CHF 950.—,No information,3775,"Aegertenstrasse, 62",Lenk im Simmental,No information,"schöne, sonnige 2 1/2 Zimmerwohnung mit grosser Terrasse, möbliert, Kellerbateil. Waschmaschine /Tumbler zur Mitbenützung. Sauna im Hause. Ideal als Ferienwohnung. Garage kann dazu gemietet werden. Keine Nebenkosten! Auch Strom ist gratis, da Pv-Anlage auf dem Dach.",True,True,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-lenk-im-simmental/7112430
"3,5 Zimmer",No information,CHF 1500.—,CHF 1300.—,2503,Ernst-Schülerstrasse 26,Biel/Bienne,2017,An der Ernst-Schülerstrasse 26 vermieten wir an zentralster Stadtlage im 4. OG (mit Lift) per 01.07.2022 eine renovierte 3.5-Zimmerwohnung mit folgenden Merkmalen:Platten/Parkettbödenoffene moderne Küche mit Glaskeramik und Geschirrspülermodernes Badezimmer mit Duschkabineviele Einbauschränke im SchlafzimmerLift vorhanden2 BalkoneKellerabteilParkplätze sind in der blauen Zone verfübar.Haben wir Ihr Interesse geweckt? Für weitere Auskünfte stehen wir Ihnen gerne zur Verfügung und freuen uns auf Ihre telefonische oder schriftliche Kontaktaufnahme.,True,False,True,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7032517
3 Zimmer,No information,CHF 1090.—,CHF 920.—,2555,Friedhofweg 12,Brügg BE,No information,"Wir vermieten per sofort oder  nach Vereinbarung eine 3,5-Zimmerwohnung:Parkett- und Laminatbodenmoderne Küche und BadBalkon, Keller und EstrichBei Interesse freuen wir uns auf Ihren Anruf oder Kontaktaufnahme per E-Mail.",True,True,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/5699586
"1,5 Zimmer",No information,CHF 650.—,CHF 500.—,3618,Waldmatt 336b,Süderen,No information,"Dieses helle und heimelige Dachstudio verfügt über eine Kochnische, Laminatböden und einem Balkon. Das seperate Schlafzimmer bietet viel Platz und hat ein Dachfenster. Das Badezimmer ist mit Fliesen ausgelegt und hat eine Dusche und ein Dachfenster.Die Wohnung verfügt über Swisscom TV Anschluss.Im Mietpreis inbegriffen sin Waschmaschine und Tumbler sowie ein Autounterstand, platz für Jacke und Schuhe im Heizraum und mitbenützung im Brätlihüsli.Einkaufsmöglichkeiten sind in 1,5 Km erreichbahr. Die Schule ist 5Km entfernt (Schulbös).Die Wohnung ist eine Nichtraucherwohnung.",True,False,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/dachwohnung-mieten-suederen/4195989
"3,5 Zimmer",90 m²,CHF 1750.—,CHF 1600.—,3312,Bruchbachweg 10,Fraubrunnen,2005,"Die Wohnung am Bruchbachweg 10 verfügt über Eigentumsstandard und befindet sich an ruhiger und sonniger Lage im Herzen von Fraubrunnen, in unmittelbarer Nähe zum RBS-Bahnhof.Das Quartier erfreut sich grosser Beliebtheit. Die zu vermietende 3-1/2 Zimmer-Erdgeschoss-Wohnung, mit separatem Keller und beheiztem Bastelraum inkl. Waschturm, wird ab 1. Juli 2022 frei.Hier erhalten Sie viel Wohn– und Lebensqualität zu einem vernünftigen Preis. Durch die bestehende Einstellhalle ist die barrierefrei erstellte Liegenschaft unterirdisch direkt und rollstuhlgängig mit Ihrem Einstellhallenplatz verbunden.Zentral und trotzdem ruhig gelegen, wir freuen uns Ihnen die Wohnung zu zeigen und Sie für die unzähligen Vorteile des Standortes und der Wohnung zu begeistern.Weitere Fotos und Videos auf Anfrage.",True,False,True,False,False,True,True,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-fraubrunnen/7110747
2 Zimmer,45 m²,CHF 1090.—,CHF 950.—,3600,Pestalozzistrasse 67,Thun,2021,Die 2-Zimmer-Wohnung befindet sich in einem ruhigen Wohnquartier und weist gut besonnte Wohnräume auf.,False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/6784766
"3,5 Zimmer",70 m²,CHF 1280.—,CHF 1050.—,2555,Pfeidstrasse 13,Brügg BE,2017,"In dieser zentral gelegenen Liegenschaft vermieten wir per 01.07.2022 oder nach Vereinbarung eine moderne 3.5-Zimmerwohnung, welche Sie durch folgende Vorzüge überzeugen wird:neuwertige Küche mit GranitabdeckungGlaskeramikherdGeschirrspülerParkettboden im WohnbereichPlattenboden in Küche, Essbereich, Korridor und BadezimmerMarmoleumbelag in den Schlafräumenmodernes WC mit Dusche und Tageslichtneue IV-verglaste FensterEinbauschränkeBalkonKellerabteil für zusätzlichen StauraumDie Liegenschaft befindet sich an zentraler und doch ruhiger und kinderfreundlichen Lage in Brügg. Die Einkaufsmöglichkeiten und der Bahnhof sind zu Fuss innert wenigen Minuten erreichbar.Ein Einstellplatz kann bei Bedarf für CHF 90.- pro Monat oder ein Abstellplatz für CHF 40.- pro Monat dazu gemietet werden.Konnten wir Ihr Interesse wecken? Dann füllen Sie die Kontaktanfrage aus, um die Besichtigungsinformationen per E-Mail zu erhalten.Hinweis: Die Bilder stammen nicht genau von dieser Wohnung. Es handelt sich um Musterfotos eines vergleichbaren Objekts, welche den Ausbaustandard zeigen.",False,False,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/7104407
4 Zimmer,77 m²,CHF 1485.—,CHF 1245.—,3613,Kirchfeldstrasse 10,Steffisburg,2005,"Die Lage Die gepflegte Überbauung Sonnenfeld 1 ist nur wenige Gehminuten von der Stadt Thun entfernt. Das Tor zum Oberland, wie die Stadt Thun auch genannt wird, lädt zum vielseitigen Shopping und gemütlichen Verweilen ein. Für den täglichen Gebrauch sind in der Nähe der Überbauung Sonnenfeld 1 Tankstellen mit Shops, Bäckerei usw. verfügbar. Die Bushaltestelle ist rund 5 Gehminuten entfernt. In nur 5 Fahrminuten sind Sie mit dem Bus beim Bahnhof Thun. Der Kindergarten und die Primarschule Sonnenfeld sind in 10 Minuten zu Fuss, die Oberstufe Schönau mit dem Fahrrad in rund 15 Minuten erreichbar.Rundgang durch Ihre Wohnung Nach dem grosszügigen Eingangsbereich gelangen Sie in das Wohnzimmer mit Ausgang auf den Balkon. Die abgeschlossene Küche und auch das Badezimmer verfügen über ein praktisches Fenster. Das Wohnzimmer und die Zimmer sind mit Eichenparett ausgestattet. Der Grundriss bietet Ihrer Familie genügend Platz. Der Balkon lädt zudem zum gemütlichen Verweilen ein.Küche mit FensterGeschirrspüler, Kühlschrank mit sep. Tiefkühlfach3 separate ZimmerBad mit FensterBalkonKeller/EstrichabteilDetails Einstellhallenplatz kann für CHF 110.00 mtl. dazu gemietet werden. Für die Kinder hat es einige Spielmöglichkeiten und genügend Rasenfläche vorhanden. Kein Lift vorhanden.Anrufen. Besichtigen. Mieten. Suchen Sie ein neues Zuhause? Dann freuen wir uns auf Ihre Kontaktaufnahme!Lara Bühlmann058 280 74 10lara.buehlmann@helvetia.chAls Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/immobilienBei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.",True,True,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-steffisburg/7094860
"4,5 Zimmer",97 m²,CHF 1745.—,CHF 1475.—,3400,Gyrischachenstrasse 6b,Burgdorf,2011,"Die Lage Im Quartier Gyrischachen werden Sie sich dank der Nähe zur Bushaltestelle ""Gyri Ost"", zu verschiedenen Einkaufsmöglichkeiten und Dienstleistern und dem quartiereigenen Schwimmbad wohlfühlen. Hier wohnen Sie in einem grünen Quartier mit einer familienfreundlichen Infrastruktur, kurzen Gehdistanzen zu Kindergarten, Schulen und dem Naherholungsgebiet.ein Rundgang durch Ihre Wohnung Die Wohnung verfügt über sehr geräumige Zimmer und viel Platz sich einzurichten. Für mehr Stauraum sorgen Garderobe und Wandschrank im Eingangsbereich. Ein Highlight ist die moderne Küche, welche zum Essbereich hin offen gehalten ist. Praktisch für Ihr Familienleben sind die beiden Badezimmer mit Dusche sowie Badewanne. Durch die grossen Glasfronten wird der Wohnbereich mit viel Tageslicht durchflutet.Weiter bietet Ihnen diese Wohnung folgende Vorzüge:moderne Küche mit GeschirrspülerEinbaukühlschrank mit separeten GefrierschubladenWohnzimmer3 ZimmerBalkonKellerabteilDetails Ein Einstellplatz in der Tiefgarage kann auf Wunsch für CHF 107.00 mtl. dazu gemietet werden.Anrufen. Besichtigen. Mieten. Suchen Sie ein neues Zuhause für Ihre Familie? Dann freuen wir uns auf Ihre Kontaktaufnahme!Franziska Köhli058 280 74 87franziska.koehli@helvetia.chAls Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/immobilien",True,True,True,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7083115
"4,5 Zimmer",124 m²,CHF 1850.—,No information,3323,Giebelweg 5,Bäriswil BE,2017,"Sonnige helle 4.1/2  mit 2 Terrassen.. Die Wohnung verfügt über ein Dusche/WC und Bad/WC, 1 Schlafzimmr, 2 Kinderzimmer, offene Küche mit Glaskeramik, Heisluftbackofen, Geschirrspühler. Heissluft-Cheminée im Ess-/Wohnbereich. Viele Fenster  mit Sicht auf den Jura, inkl.Doppelgarage. Separater Autounterstand kann für CHF 80.-- dazu gemietet werden.Keller, Estrich.Nebenkosten 350.-Das 4-Familienhaus ist an eine Toplage am Waldrand gebaut. ÖV in unmittelbaren nähe.",True,True,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-baeriswil-be/6022089
"3,5 Zimmer",67 m²,CHF 1360.—,CHF 1150.—,3302,Badweg 8,Moosseedorf,No information,Wir vermieten per 1. Juli 2022 diese charmante 3.5-Zimmerwohnung direkt am Moossee:Wohn- Schlaf- und Gästezimmer mit ParkettbodenGeräumige Küche in separatem RaumBad mit BadewanneKeller- und EstrichabteilWaschküche / Trocknungsraumgemütlicher Balkon mit ganztägiger BesonnungVor dem Bezug wird die Wohnung komplett neu gestrichen und die Küchengeräte werden ersetzt.Ein Einstellhallenplatz kann für CHF 90.00 pro Monat dazugemietet werden.Haben wir Ihr Interesse geweckt? Gerne können Sie sich für einen unverbindlichen Besichtigungstermin bei uns melden.,True,True,False,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-moosseedorf/7111657
"2,5 Zimmer",62 m²,CHF 1514.—,CHF 1334.—,3302,Stägmatt 12,Moosseedorf,2013,"Per 01.08.2022 oder nach Vereinbarung vermieten wir diese moderne 2.5-Zimmerwohnung welche sich in einem ruhigen Wohnquartier befindet.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:Wohn- und Schlafzimmer sowie Küche mit ParkettbodenNasszelle sowie Reduit mit pflegeleichtem PlattenbodenModerne, offene Küche mit Glaskeramikherd, Backofen auf Sichthöhe, Geschirrspüler und viel Stauraum für Ihre KüchenutensilienRaumhohe Fenster sorgen für viel TageslichtHelles Badezimmer mit WC, Lavabo, Spiegelschrank und BadewanneReduit mit eigenem Waschturm (Waschmaschine und Trockner)Grosszügiger, sonniger Balkon zum VerweilenEigenes Kellerabteil im UntergeschossVeloraum zur MitbenutzungDie Katzen- und Hundehaltung ist in dieser Liegenschaft erlaubt.Bei Bedarf kann ein Einstellplatz für CHF 130.00 pro Monat dazu gemietet werden.Umgebung:Ruhige und familiäre Siedlung zum WohlfühlenDiverse Einkaufsmöglichkeiten befinden sich in unmittelbarer NäheSehr gute Anschlüsse an die Autobahn und an den öffentlichen VerkehrBei den Innenfotos handelt es sich um Musterfotos, welche lediglich den Ausbaustandard darstellen und leicht vom Mietobjekt abweichen können.Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage.",False,True,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-moosseedorf/7111666
"4,5 Zimmer",No information,CHF 1290.—,No information,4952,Ahornstrasse 4,Eriswil,No information,"Grosse teilrenovierte 4,5 Zimmer Wohnung mit Balkon. Im Kern des Dorfes vermieten wir per sofort oder nach Vereinbarung, sonnige und helle Wohnung an der Ahornstrasse 4 in Eriswil. Die Küche wurde 2018 erneuert, der Balkon im Jahr 2019. Im Mietpreis inbegriffen ist ein Autoparkplatz im Unterstand. Ein weiterer Autoabstellplatz kann gegen Aufpreis gemietet werden.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-eriswil/7111648
"5,5 Zimmer",120 m²,CHF 1580.—,No information,3367,Eigenstrasse 15,Thörigen,2019,"Schöne, komfortable Dachwohnung mit offener Galerie. Die Wohnung hat Bodenheizung sowie einen Schwedenofen. Zudem steht ein überdeckter grosser Balkon zur Verfügung. Die Wohnfläche im Grundgeschoss ist mit einer Keramikplatte ausgestattet. In den Zimmern ist Laminat und auf der Galerie ist der Boden mit Buchenparkett verlegt. Die Küche ist aus Kirschbaumholz.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/dachwohnung-mieten-thoerigen/5470600
"7,5 Zimmer",250 m²,CHF 3350.—,CHF 3050.—,3235,Rebenweg 7,Erlach,2021,"Wir vermieten an ruhiger Lage eine grosse Wohnung mit 7.5 Zimmern, 3 Nasszellen und grosser Terrasse.",True,False,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-erlach/7111518
"3,5 Zimmer",85 m²,CHF 2450.—,No information,3007,Belpstrasse,Bern,No information,"Gepflegetes Wohnen in in einer schönen und ruhigen, sonnigen Altbauwohnung mit viel Cachet. Dieses Bijoux eignet sich für Arbeiten und Wohnen im trendigen, urbanen Mattenhofquartier.Neue Kücheneues BadParkett – und Schieferbodengrosser sonnigen Balkon mit Blick in einen mediterranen Innenhof5 Minuten zur Insel, 7 Minuten zum HB/ BE.Die grosszügige 3.5-Zimmerwohnungeignet sich für Therapeuten, Treuhänder, Juristen etc. - oder zum eleganten und hochstehenden Wohnen für 2 Personen.Mtl. 2.450.— inkl. NK.Ein Einstellhallenplatz kann angemietet werden.Solvente Interessenten melden sich bitte via Mail.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7014108
"3,5 Zimmer",90 m²,CHF 1080.—,No information,2333,rue des Trois-Cantons 8,La Cibourg,2020,"Super 3,5 pcs très lumineux entièrement rénover, qui se situe dans un cadre très calme, animaux ok, place de parking priver, type de connexion fibre internet et machine as laver priver.",False,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-la-cibourg/7111423
2 Zimmer,48 m²,CHF 800.—,No information,3664,Hofacker 90M,Burgistein,2021,"2 Zimmerwohnung im Erdgeschoss eines 1 Familienhauses. Mit Terrasse und Rasenplatz.Haustiere erlaubt.""Dieses Objekt können Sie per Videoanruf besichtigen""",True,True,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/einliegerwohnung-mieten-burgistein/7111305
