rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,url_immoscout,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher
3.0,75.0,1525,1300,3008,Freiburgstrasse 64,Bern,0,Diese ideal gelegene 3-Zimmerwohnung vermieten wir ab sofort oder nach Vereinbarung.Im Wohnbereich sowie in den Zimmern ist ein Parkettbelag verlegt. Im Badezimmer in der Küche sowie im Korridor sind Bodenplatten vorhanden. Im Korridor gibt es einen Putzschrank sowie einen kleineren Einbauschrank. Im Weiteren gehört zur Wohnung ein grosser Balkon und ein kleiner Balkon sowie ein Keller- und Estrichabteil.Das Mehrfamilienhaus befindet sich an ruhiger Lage. Das Stadtzentrum und der Hauptbahnhof Bern ist mit den öffentlichen Verkehrsmitteln in einigen Minuten erreichbar.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontakaufnahme.,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7100563,True,False,False,False,False,False,False,False,True
3.5,77.0,1400,1200,3532,Langnaustrasse 11,Zäziwil,0,Zu vermieten auf den 1. Septmeber 2022 oder nach Vereinbarung eine schöne und charmante 3.5 Zimmer Erdgeschoss-Wohnung an der Langnaustrasse 11 in Zäziwil.> Küche mit Glaskeramik und Geschirrspüler> Bad/WC> Bodenbeläge Keramik und Laminat> Einbauschränke> Kleiner Wintergarten> Gartensitzplatz> Keller und Estrichabteil> zwei Autounterstände können dazu gemietet werden pro Platz CHF 60.-- monatlich.Wir freuen uns auf Ihren Anruf.Edith Sommer079 383 89 16,https://www.immoscout24.ch/de/d/wohnung-mieten-zaeziwil/7111107,True,False,False,True,False,False,False,False,True
1.0,25.0,1120,980,3014,Melchtalstrasse 29,Bern,2021,Zu vermieten nach Vereinbarung renoviertes helles Studio offene Küche mit sämtlichen Apparaten schönes Badezimmer Parkettboden Kellerabteil Estrich und Lift Mitbenützung Gemeinschaftsgarten etc.,https://www.immoscout24.ch/de/d/studio-mieten-bern/6504494,False,False,True,False,False,False,False,False,True
5.5,155.0,2290,1940,2552,Hauptstrasse 139,Orpund,1998,Die Duplex-Wohnung befindet sich an zentraler Lage in Orpund.Im unteren Teil liegt der Eingangsbereich mit Garderobe die halboffene Küche ein Gäste-WC sowie der Ess- uns Wohnbereich mit Schwedenofen wovon man über die Terasse direkt in den Garten und zu den Parkplätzen gelangt.Im oberen Teil der Wohnung befinden sich ein Badzimmer inkl. WC und drei Schlafzimmer (eines davon sehr gross).Zur Liegenschaft kann zusätzlich ein gedeckter Parkplatz (CHF 100.- p.M.) und/oder ein weiterer im Freien (CHF 50.-) dazugemietet werden.,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-orpund/6846539,True,False,False,True,False,False,False,True,True
4.5,120.0,1500,1250,2710,Grand Rue 14,Tavannes,2022,Joli appartement rénové dans un style ancien cuisine moderne bien équipée ouverte 3 chambres a coucher salle de bains avec baignoire cave.Le bâtiment est situé dans centre ville du Tavannes derrière de la station de les train.,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107539,True,False,False,False,False,False,False,False,True
2.5,70.0,1250,1050,2710,Grand Rue 14,Tavannes,2022,Joli appartement rénové dans un style ancien avec cuisine moderne bien équipée chambres à coucher grand  salle de bains avec douche  terasse ouverte cave.,https://www.immoscout24.ch/de/d/wohnung-mieten-tavannes/7107552,True,False,False,False,False,False,False,False,True
2.5,62.5,950,837,3775,Aegertenstrasse 62,Lenk im Simmental,0,schöne sonnige 2 1/2 Zimmerwohnung mit grosser Terrasse möbliert Kellerbateil. Waschmaschine /Tumbler zur Mitbenützung. Sauna im Hause. Ideal als Ferienwohnung. Garage kann dazu gemietet werden. Keine Nebenkosten! Auch Strom ist gratis da Pv-Anlage auf dem Dach.,https://www.immoscout24.ch/de/d/wohnung-mieten-lenk-im-simmental/7112430,True,True,False,False,False,False,False,True,False
3.5,87.5,1500,1300,2503,Ernst-Schülerstrasse 26,Biel/Bienne,2017,An der Ernst-Schülerstrasse 26 vermieten wir an zentralster Stadtlage im 4. OG (mit Lift) per 01.07.2022 eine renovierte 3.5-Zimmerwohnung mit folgenden Merkmalen:Platten/Parkettbödenoffene moderne Küche mit Glaskeramik und Geschirrspülermodernes Badezimmer mit Duschkabineviele Einbauschränke im SchlafzimmerLift vorhanden2 BalkoneKellerabteilParkplätze sind in der blauen Zone verfübar.Haben wir Ihr Interesse geweckt? Für weitere Auskünfte stehen wir Ihnen gerne zur Verfügung und freuen uns auf Ihre telefonische oder schriftliche Kontaktaufnahme.,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7032517,True,False,True,False,False,False,False,False,True
3.0,75.0,1090,920,2555,Friedhofweg 12,Brügg BE,0,Wir vermieten per sofort oder  nach Vereinbarung eine 35-Zimmerwohnung:Parkett- und Laminatbodenmoderne Küche und BadBalkon Keller und EstrichBei Interesse freuen wir uns auf Ihren Anruf oder Kontaktaufnahme per E-Mail.,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/5699586,True,True,False,False,False,False,False,False,False
1.5,37.5,650,500,3618,Waldmatt 336b,Süderen,0,Dieses helle und heimelige Dachstudio verfügt über eine Kochnische Laminatböden und einem Balkon. Das seperate Schlafzimmer bietet viel Platz und hat ein Dachfenster. Das Badezimmer ist mit Fliesen ausgelegt und hat eine Dusche und ein Dachfenster.Die Wohnung verfügt über Swisscom TV Anschluss.Im Mietpreis inbegriffen sin Waschmaschine und Tumbler sowie ein Autounterstand platz für Jacke und Schuhe im Heizraum und mitbenützung im Brätlihüsli.Einkaufsmöglichkeiten sind in 15 Km erreichbahr. Die Schule ist 5Km entfernt (Schulbös).Die Wohnung ist eine Nichtraucherwohnung.,https://www.immoscout24.ch/de/d/dachwohnung-mieten-suederen/4195989,True,False,False,True,False,False,False,True,False
3.5,90.0,1750,1600,3312,Bruchbachweg 10,Fraubrunnen,2005,Die Wohnung am Bruchbachweg 10 verfügt über Eigentumsstandard und befindet sich an ruhiger und sonniger Lage im Herzen von Fraubrunnen in unmittelbarer Nähe zum RBS-Bahnhof.Das Quartier erfreut sich grosser Beliebtheit. Die zu vermietende 3-1/2 Zimmer-Erdgeschoss-Wohnung mit separatem Keller und beheiztem Bastelraum inkl. Waschturm wird ab 1. Juli 2022 frei.Hier erhalten Sie viel Wohn– und Lebensqualität zu einem vernünftigen Preis. Durch die bestehende Einstellhalle ist die barrierefrei erstellte Liegenschaft unterirdisch direkt und rollstuhlgängig mit Ihrem Einstellhallenplatz verbunden.Zentral und trotzdem ruhig gelegen wir freuen uns Ihnen die Wohnung zu zeigen und Sie für die unzähligen Vorteile des Standortes und der Wohnung zu begeistern.Weitere Fotos und Videos auf Anfrage.,https://www.immoscout24.ch/de/d/wohnung-mieten-fraubrunnen/7110747,True,False,True,False,False,True,True,True,True
2.0,45.0,1090,950,3600,Pestalozzistrasse 67,Thun,2021,Die 2-Zimmer-Wohnung befindet sich in einem ruhigen Wohnquartier und weist gut besonnte Wohnräume auf.,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/6784766,False,False,False,False,False,False,False,False,False
3.5,70.0,1280,1050,2555,Pfeidstrasse 13,Brügg BE,2017,In dieser zentral gelegenen Liegenschaft vermieten wir per 01.07.2022 oder nach Vereinbarung eine moderne 3.5-Zimmerwohnung welche Sie durch folgende Vorzüge überzeugen wird:neuwertige Küche mit GranitabdeckungGlaskeramikherdGeschirrspülerParkettboden im WohnbereichPlattenboden in Küche Essbereich Korridor und BadezimmerMarmoleumbelag in den Schlafräumenmodernes WC mit Dusche und Tageslichtneue IV-verglaste FensterEinbauschränkeBalkonKellerabteil für zusätzlichen StauraumDie Liegenschaft befindet sich an zentraler und doch ruhiger und kinderfreundlichen Lage in Brügg. Die Einkaufsmöglichkeiten und der Bahnhof sind zu Fuss innert wenigen Minuten erreichbar.Ein Einstellplatz kann bei Bedarf für CHF 90.- pro Monat oder ein Abstellplatz für CHF 40.- pro Monat dazu gemietet werden.Konnten wir Ihr Interesse wecken? Dann füllen Sie die Kontaktanfrage aus um die Besichtigungsinformationen per E-Mail zu erhalten.Hinweis: Die Bilder stammen nicht genau von dieser Wohnung. Es handelt sich um Musterfotos eines vergleichbaren Objekts welche den Ausbaustandard zeigen.,https://www.immoscout24.ch/de/d/wohnung-mieten-bruegg-be/7104407,True,False,True,False,False,False,False,False,False
4.0,77.0,1485,1245,3613,Kirchfeldstrasse 10,Steffisburg,2005,Die Lage Die gepflegte Überbauung Sonnenfeld 1 ist nur wenige Gehminuten von der Stadt Thun entfernt. Das Tor zum Oberland wie die Stadt Thun auch genannt wird lädt zum vielseitigen Shopping und gemütlichen Verweilen ein. Für den täglichen Gebrauch sind in der Nähe der Überbauung Sonnenfeld 1 Tankstellen mit Shops Bäckerei usw. verfügbar. Die Bushaltestelle ist rund 5 Gehminuten entfernt. In nur 5 Fahrminuten sind Sie mit dem Bus beim Bahnhof Thun. Der Kindergarten und die Primarschule Sonnenfeld sind in 10 Minuten zu Fuss die Oberstufe Schönau mit dem Fahrrad in rund 15 Minuten erreichbar.Rundgang durch Ihre Wohnung Nach dem grosszügigen Eingangsbereich gelangen Sie in das Wohnzimmer mit Ausgang auf den Balkon. Die abgeschlossene Küche und auch das Badezimmer verfügen über ein praktisches Fenster. Das Wohnzimmer und die Zimmer sind mit Eichenparett ausgestattet. Der Grundriss bietet Ihrer Familie genügend Platz. Der Balkon lädt zudem zum gemütlichen Verweilen ein.Küche mit FensterGeschirrspüler Kühlschrank mit sep. Tiefkühlfach3 separate ZimmerBad mit FensterBalkonKeller/EstrichabteilDetails Einstellhallenplatz kann für CHF 110.00 mtl. dazu gemietet werden. Für die Kinder hat es einige Spielmöglichkeiten und genügend Rasenfläche vorhanden. Kein Lift vorhanden.Anrufen. Besichtigen. Mieten. Suchen Sie ein neues Zuhause? Dann freuen wir uns auf Ihre Kontaktaufnahme!Lara Bühlmann058 280 74 10lara.buehlmann@helvetia.chAls Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/immobilienBei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.,https://www.immoscout24.ch/de/d/wohnung-mieten-steffisburg/7094860,True,True,False,False,False,False,False,False,False
4.5,97.0,1745,1475,3400,Gyrischachenstrasse 6b,Burgdorf,2011,"Die Lage Im Quartier Gyrischachen werden Sie sich dank der Nähe zur Bushaltestelle ""Gyri Ost"" zu verschiedenen Einkaufsmöglichkeiten und Dienstleistern und dem quartiereigenen Schwimmbad wohlfühlen. Hier wohnen Sie in einem grünen Quartier mit einer familienfreundlichen Infrastruktur kurzen Gehdistanzen zu Kindergarten Schulen und dem Naherholungsgebiet.ein Rundgang durch Ihre Wohnung Die Wohnung verfügt über sehr geräumige Zimmer und viel Platz sich einzurichten. Für mehr Stauraum sorgen Garderobe und Wandschrank im Eingangsbereich. Ein Highlight ist die moderne Küche welche zum Essbereich hin offen gehalten ist. Praktisch für Ihr Familienleben sind die beiden Badezimmer mit Dusche sowie Badewanne. Durch die grossen Glasfronten wird der Wohnbereich mit viel Tageslicht durchflutet.Weiter bietet Ihnen diese Wohnung folgende Vorzüge:moderne Küche mit GeschirrspülerEinbaukühlschrank mit separeten GefrierschubladenWohnzimmer3 ZimmerBalkonKellerabteilDetails Ein Einstellplatz in der Tiefgarage kann auf Wunsch für CHF 107.00 mtl. dazu gemietet werden.Anrufen. Besichtigen. Mieten. Suchen Sie ein neues Zuhause für Ihre Familie? Dann freuen wir uns auf Ihre Kontaktaufnahme!Franziska Köhli058 280 74 87franziska.koehli@helvetia.chAls Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Bei den publizierten Bildern handelt es sich um typenähnliche / typengleiche Wohnungen. Abweichungen zum effektiven Angebot sind deshalb möglich.Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/immobilien",https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7083115,True,True,True,True,False,False,False,False,False
4.5,124.0,1850,1629,3323,Giebelweg 5,Bäriswil BE,2017,Sonnige helle 4.1/2  mit 2 Terrassen.. Die Wohnung verfügt über ein Dusche/WC und Bad/WC 1 Schlafzimmr 2 Kinderzimmer offene Küche mit Glaskeramik Heisluftbackofen Geschirrspühler. Heissluft-Cheminée im Ess-/Wohnbereich. Viele Fenster  mit Sicht auf den Jura inkl.Doppelgarage. Separater Autounterstand kann für CHF 80.-- dazu gemietet werden.Keller Estrich.Nebenkosten 350.-Das 4-Familienhaus ist an eine Toplage am Waldrand gebaut. ÖV in unmittelbaren nähe.,https://www.immoscout24.ch/de/d/wohnung-mieten-baeriswil-be/6022089,True,True,False,False,False,False,False,False,True
3.5,67.0,1360,1150,3302,Badweg 8,Moosseedorf,0,Wir vermieten per 1. Juli 2022 diese charmante 3.5-Zimmerwohnung direkt am Moossee:Wohn- Schlaf- und Gästezimmer mit ParkettbodenGeräumige Küche in separatem RaumBad mit BadewanneKeller- und EstrichabteilWaschküche / Trocknungsraumgemütlicher Balkon mit ganztägiger BesonnungVor dem Bezug wird die Wohnung komplett neu gestrichen und die Küchengeräte werden ersetzt.Ein Einstellhallenplatz kann für CHF 90.00 pro Monat dazugemietet werden.Haben wir Ihr Interesse geweckt? Gerne können Sie sich für einen unverbindlichen Besichtigungstermin bei uns melden.,https://www.immoscout24.ch/de/d/wohnung-mieten-moosseedorf/7111657,True,True,False,False,False,False,False,False,True
2.5,62.0,1514,1334,3302,Stägmatt 12,Moosseedorf,2013,Per 01.08.2022 oder nach Vereinbarung vermieten wir diese moderne 2.5-Zimmerwohnung welche sich in einem ruhigen Wohnquartier befindet.Die Wohnung bietet Ihnen folgende Annehmlichkeiten:Wohn- und Schlafzimmer sowie Küche mit ParkettbodenNasszelle sowie Reduit mit pflegeleichtem PlattenbodenModerne offene Küche mit Glaskeramikherd Backofen auf Sichthöhe Geschirrspüler und viel Stauraum für Ihre KüchenutensilienRaumhohe Fenster sorgen für viel TageslichtHelles Badezimmer mit WC Lavabo Spiegelschrank und BadewanneReduit mit eigenem Waschturm (Waschmaschine und Trockner)Grosszügiger sonniger Balkon zum VerweilenEigenes Kellerabteil im UntergeschossVeloraum zur MitbenutzungDie Katzen- und Hundehaltung ist in dieser Liegenschaft erlaubt.Bei Bedarf kann ein Einstellplatz für CHF 130.00 pro Monat dazu gemietet werden.Umgebung:Ruhige und familiäre Siedlung zum WohlfühlenDiverse Einkaufsmöglichkeiten befinden sich in unmittelbarer NäheSehr gute Anschlüsse an die Autobahn und an den öffentlichen VerkehrBei den Innenfotos handelt es sich um Musterfotos welche lediglich den Ausbaustandard darstellen und leicht vom Mietobjekt abweichen können.Haben wir Ihr Interesse geweckt? Für einen Besichtigungstermin kontaktieren Sie uns bitte schriftlich über das Kontaktformular. Wir freuen uns auf Ihre Anfrage.,https://www.immoscout24.ch/de/d/wohnung-mieten-moosseedorf/7111666,True,True,False,False,False,False,False,True,False
4.5,112.5,1290,1136,4952,Ahornstrasse 4,Eriswil,0,Grosse teilrenovierte 45 Zimmer Wohnung mit Balkon. Im Kern des Dorfes vermieten wir per sofort oder nach Vereinbarung sonnige und helle Wohnung an der Ahornstrasse 4 in Eriswil. Die Küche wurde 2018 erneuert der Balkon im Jahr 2019. Im Mietpreis inbegriffen ist ein Autoparkplatz im Unterstand. Ein weiterer Autoabstellplatz kann gegen Aufpreis gemietet werden.,https://www.immoscout24.ch/de/d/wohnung-mieten-eriswil/7111648,True,False,False,True,False,False,False,False,True
5.5,120.0,1580,1392,3367,Eigenstrasse 15,Thörigen,2019,Schöne komfortable Dachwohnung mit offener Galerie. Die Wohnung hat Bodenheizung sowie einen Schwedenofen. Zudem steht ein überdeckter grosser Balkon zur Verfügung. Die Wohnfläche im Grundgeschoss ist mit einer Keramikplatte ausgestattet. In den Zimmern ist Laminat und auf der Galerie ist der Boden mit Buchenparkett verlegt. Die Küche ist aus Kirschbaumholz.,https://www.immoscout24.ch/de/d/dachwohnung-mieten-thoerigen/5470600,True,False,False,True,False,False,False,False,True
7.5,250.0,3350,3050,3235,Rebenweg 7,Erlach,2021,Wir vermieten an ruhiger Lage eine grosse Wohnung mit 7.5 Zimmern 3 Nasszellen und grosser Terrasse.,https://www.immoscout24.ch/de/d/wohnung-mieten-erlach/7111518,True,False,False,True,False,False,False,True,True
3.5,85.0,2450,2158,3007,Belpstrasse,Bern,0,Gepflegetes Wohnen in in einer schönen und ruhigen sonnigen Altbauwohnung mit viel Cachet. Dieses Bijoux eignet sich für Arbeiten und Wohnen im trendigen urbanen Mattenhofquartier.Neue Kücheneues BadParkett – und Schieferbodengrosser sonnigen Balkon mit Blick in einen mediterranen Innenhof5 Minuten zur Insel 7 Minuten zum HB/ BE.Die grosszügige 3.5-Zimmerwohnungeignet sich für Therapeuten Treuhänder Juristen etc. - oder zum eleganten und hochstehenden Wohnen für 2 Personen.Mtl. 2.450.— inkl. NK.Ein Einstellhallenplatz kann angemietet werden.Solvente Interessenten melden sich bitte via Mail.,https://www.immoscout24.ch/de/d/wohnung-mieten-bern/7014108,True,False,False,False,False,False,False,False,False
3.5,90.0,1080,951,2333,rue des Trois-Cantons 8,La Cibourg,2020,Super 35 pcs très lumineux entièrement rénover qui se situe dans un cadre très calme animaux ok place de parking priver type de connexion fibre internet et machine as laver priver.,https://www.immoscout24.ch/de/d/wohnung-mieten-la-cibourg/7111423,False,True,False,True,False,False,False,True,True
2.0,48.0,800,704,3664,Hofacker 90M,Burgistein,2021,"2 Zimmerwohnung im Erdgeschoss eines 1 Familienhauses. Mit Terrasse und Rasenplatz.Haustiere erlaubt.""Dieses Objekt können Sie per Videoanruf besichtigen""",https://www.immoscout24.ch/de/d/einliegerwohnung-mieten-burgistein/7111305,True,True,False,True,False,False,False,False,False
4.5,132.0,2895,2650,3400,Kreuzgraben 12,Burgdorf,2013,Mängs Eifamiliehuus bietet nid sövu...Die Wohnung ist aussergewöhnlich gross und wurde im Jahr 2013 im gehobenen Eigentumsstandard gebaut.Dieses einzigartige Objekt bietet Ihnen folgendes:XXL-Wohnflächi: ein durchdachter Grundriss von 132 m² wartet darauf ganz nach Ihren Wünschen eingerichtet zu werden.Für d'Gourmet's: während des Kochens in der offenen grosszügigen Küche können Sie die Aussicht ins Grüne geniessen. Die hochwertige Ausstattung mit Glaskeramikfeld Backofen separatem Kombisteamer und vielem mehr lassen selbst das Herz eines anspruchsvollen Kochs höherschlagen.Entspannig: im Winter ein warmes Bad im Sommer eine kalte Dusche - hier ist beides möglich.Lieblingsplatz: im Erker mit Blick in den grünen Garten ist Entspannung garantiert.D'Sunne gniesse: warme Sommertage können Sie im Liegestuhl auf dem grosszügigen Gartensitzplatz (35 m²) ausklingen lassen.Praktisch: im Reduit in der Wohnung befindet sich die eigene Waschmaschine inkl. Wäschetrockner. Die Wohnung verfügt zudem über elektrische Storen.Gsung: dank Komfortlüftung ist bei Ihnen immer frisch gelüftet und Sie geniessen das ganze Jahr ein angenehmes Wohnklima.Sparsam: aufgrund der guten Dämmung (Minergie-Norm) sowie der Wärmepumpe werden Ihnen die Heizkosten nie Sorgen bereiten.Viu Platz: im Untergeschoss steht ein Kellerabteil zur Verfügung.Di perfekti LaagDie Liegenschaft befindet sich im äusserst beliebten Gsteig-Quartier. Von viel Grün umgeben geniessen Sie jede Minute. Doch keine Sorge nur wenige Schritte entfernt befindet sich die historisch wertvolle Burgdorfer Altstadt. Dort warten diverse Einkaufsmöglichkeiten Strassencafés sowie zahlreiche andere Unterhaltungsangebote auf Sie - flanieren Sie durch die Gassen und geniessen Sie dieses wunderbare Altstadtfeeling...Für's OutoIn der Einstellhalle der Liegenschaft steht für CHF 150.- pro Monat ein Parkplatz zur Verfügung. Bei Bedarf können weitere Parkplätze im Parkhaus Oberstadt welches sich gleich um die Ecke befindet gemietet werden.Gwunger gweckt?Verschaffen Sie sich dank der virtuellen Tour einen ersten Eindruck bequem vom Sofa aus. Gerne dürfen Sie das Objekt auch vor Ort besichtigen - mir fröie üs uf öich!,https://www.immoscout24.ch/de/d/wohnung-mieten-burgdorf/7103409,True,False,True,True,True,True,False,True,True
